content,subject,sentiment_value,score
的话不怎么样和大众的感觉完全不一样底盘也松松垮垮的！,操控,0,3
是我原来开熊猫的原因吗？轻轻一点油门一下就开出去了唰高速120没感觉熊猫怎么都到不了100！,动力,0,3
比较低自动落锁伴我回家自动头灯6速自动波箱也没有！,配置,-1,2
很好当年马三宝来悦动三剑客马三日本的车pass也比较小宝来加价pass而且有一点超预算悦动降价而且比较大最终选择性价比不错！,价格,0,3
平庸就车头还可以令人眼前一亮其他现在看看都不怎么样,外观,0,3
做工粗糟塑料感强烈,内饰,0,3
确实大这一点无庸质疑的,空间,0,4
这方面还可以转向灵敏反正是自动的方向盘抓稳就可以了,操控,0,3
方面怎么说呢说很肉确实肉不过你要是舍得给油那跑起来也是杠杠的,动力,0,3
不是很丰富功能操作方便易懂,配置,0,3
性价比不高不值那个价钱,价格,-1,2
我承认我是外貌协会的！大气的车头流动的车体协调的车尾是我对10款悦动一见倾心的原因11年悦动改款有了新变化我感觉改款后的远不如老款显得和谐自然！难道车子也是看着自己的好！,外观,1,5
舒适版悦动车的用料除了塑料就是塑料还是塑料！也是这个价位车型的常见不过对于中控台表面使用软搪性材质包裹这点必须点个赞感觉立马高大上了许多做工较细致符合合资车的工艺水准,内饰,0,4
乘坐宽敞载物能力强一直是悦动的一大卖点车上坐5个人不费劲并且头部腿部还有富余后备箱容积达475升过年走亲访友装些年货不成问题,空间,1,5
悦动方向盘较重转向灵敏度一般较硬的减震不能很好的过滤掉路面的颠簸感使得有所降低但较硬的减震保证了车辆过弯时侧倾较小提升了行车安全,操控,0,4
自动舒适版悦动采用现代研制的伽马1.6自然吸气全铝发动机与之匹配的是4AT变速箱功率达到90kw6300rpm行驶初段加速稍嫌迟缓速度达到60迈以上时只要舍得给油提速较快,动力,0,4
舒适版悦动实用双安全气囊前后盘刹等保证了行车安全储物设计充足上手便利舒适如车载音响空调等效果较好,配置,0,3
就我这实际情况谈性价比我只能说呵呵了具体情况下文分解,价格,0,3
大气时尚,外观,1,5
一般质感有待提升,内饰,0,4
可以与很到B级车媲美,空间,1,5
方向回正有点重,操控,1,5
完全满足代步家用,动力,1,5
常规都有音响不错,配置,0,4
总体来说性价比很高,价格,1,5
城市道路很舒适空调制冷有点慢,舒适性,0,4
大灯和尾灯太难看2,外观,-1,2
很一般太普通了,内饰,-1,2
宽松换可以,空间,0,3
简单一般般,操控,-1,2
超车时不足开空调时不足,动力,-1,1
太简单大众化,配置,-1,2
欢不如长城汽车,价格,-1,2
比较大气和朗动的造型差一点,外观,0,4
和朗逸相比还是可以的,内饰,0,4
朋友都说车子比较大,空间,0,4
方向盘有点重,操控,0,3
加速慢好几次都被公司朗逸车主超车,动力,0,3
一般吧性价比还可以,配置,0,3
一般吧办好差不多11万的东西除了之外还是可以的,价格,0,3
6.5左右吧,油耗,0,4
车子减震不咋的邦邦响,舒适性,-1,2
只能说还行现在上市的很多车型比这好看多了,外观,0,3
用料一般,内饰,0,3
还是不错的家用足够,空间,0,4
还可以,操控,0,4
家用不错的,动力,0,4
一般,配置,0,3
性价比还算可以,价格,0,4
表现一般,油耗,0,3
一般,舒适性,0,3
对悦动的也要点个赞大气的车头流畅的车身和谐的车尾让人心生喜爱,外观,1,5
悦动的用料一般大量的塑料装饰充斥其中也是合资车的主流做工还可以接缝均匀没有明显的瑕疵,内饰,0,3
悦动的还是令人非常满意的无论是乘坐还是载物能力都没得说甚至不输于部分中级车,空间,1,5
悦动的性能一般还真是确少了一些驾驶乐趣方向盘不够轻盈挂档较为生涩减震较硬也是这个价位车的通病,操控,0,3
悦动配备现代研制的伽马发动机达到90kw6300rap较为强劲提速超车轻松满足家用不成问题,动力,0,4
自动舒适版悦动的比豪华版的差了很多不过天窗真皮座椅等等是我也不特别看重的其他该有的都有了,配置,0,4
由于购车时功课做得不充分并且购车时机不够好实际购车时一分没有优惠并且多花3200买了车辆防盗器因而性价比较低,价格,0,3
用车以城区行驶为主偶尔跑一些省道或高速对于一辆四速自动挡车来说有这样的感到满意,油耗,0,4
悦动宽敞让人心胸敞亮大气心生喜爱其他的小缺点也可以谅解,舒适性,0,3
挺灵巧的有种小家碧玉的感觉,外观,1,5
紧凑型的车子比较适中,空间,1,5
1.6的还可以比较是韩系的车子车身没那么重,动力,1,5
还是比较适中的,油耗,1,5
也挺满意大气协调的让人不觉得厌烦,外观,1,5
用料及做工符合合资车的工艺水准,内饰,0,3
是悦动的强项一直是我最满意的地方前后排都比较宽敞载物能力强,空间,1,5
悦动的感觉一般方向盘不够轻盈减震硬底盘调教一般,操控,0,3
采用现代研制的伽马发动机还是不错的与4AT自动变速箱匹配自然,动力,0,4
以满足家用实用为主没有花哨的因为自动舒适版悦动属于低配车型可以理解,配置,0,3
因为自身购车没有经验没有一点现金优惠还多花了冤枉钱性价比较低,价格,0,3
是我对悦动比较满意的一个地方平时经常在拥堵的城区行驶时并且还是自动挡车型这个可以接受,油耗,0,4
舒适度一般吧特别减震硬是个硬伤乘坐不够舒服,舒适性,0,3
感觉前面还行我的是黑色的晚上看着很亮,外观,0,3
简单前排驾驶扶手很棒经常用到很舒服自带USB比较实用座椅弄了层假皮包上感觉还上点档次,内饰,0,4
在同级车绝对算大了尤其头部后排也足够用非常满意,空间,1,5
很棒因为我习惯一手方向盘一手挂挡开别的车感觉方向盘太沉,操控,0,4
够用,动力,0,4
与高配版本对比起来上少了很多,配置,0,3
物有所值,价格,1,5
合理,油耗,0,4
感觉开着挺舒服的操作简单宽敞,舒适性,1,5
漂亮,外观,0,4
简单,内饰,0,3
略小,空间,0,3
不错,操控,0,4
一般,动力,0,3
有点高,油耗,0,4
外形时尚大气实惠,外观,1,5
装配工艺做工新款车型做工比较精细,内饰,1,5
宽广舒适,空间,1,5
在方面悦动的后悬架采用扭力杆式半独立悬架在保证舒适的同时提升了车辆的承载性和转向时的稳定性,操控,1,5
十足,动力,0,4
丰富的和较为流线型的给了很多购买者去拥有它的理由,价格,0,4
还算舒适,舒适性,0,4
简洁明快线条流畅大气,外观,0,3
中控面板方向盘等处辅以局部镀铬装饰使整个不显沉闷做工还可以,内饰,0,3
一般家用够了,空间,0,3
转向准确可以,操控,0,3
加速性能只能说一般般了家用能接受的,动力,0,3
不贵性价比还行,价格,0,3
舒适度可以接受,舒适性,-1,2
普普通通很大众不错,外观,0,3
很符合我的风格有点小商务很喜欢,内饰,0,4
在同级别车中我感觉很好,空间,1,5
我感觉这个还很好,操控,0,4
适合家用吧,动力,0,3
悦动真的是该有的有想有的没有太标准了,配置,0,3
买了不后悔哦会开车小心开车的人来说,价格,0,4
刚开始感觉时尚现在看习惯了也没觉得落伍都反映车身钢板和漆皮薄厂家就不能把多刮点腻子啊！,外观,1,5
材料原因不可能很精细不够很多同价位的车企都这样,内饰,0,4
比较满意,空间,1,5
感觉还可以方向准确刹车和油门踏板反映灵敏准确,操控,1,5
一般但常在城市跑够用了,动力,0,4
中规中具,配置,0,4
目前没出现毛病感觉比那些容易出毛病的车还是比较值的,价格,0,4
流线型酷睿深黑搭配银色把手尽显尊贵,外观,0,4
全真皮座椅无异味,内饰,0,3
车身足够宽前后径稍短后排位置小,空间,0,4
操作流畅行驶稳定,操控,0,4
加速平稳提速快,动力,0,4
顶配无可挑剔,配置,1,5
物有所值值得购买,价格,0,4
奥迪R8外型宽大时尚动感只是宽大的尾部略显笨重不仅仅是一台纯粹的战斗机械在点滴细节之中我们也能够体会到设计师想表达的那种温文尔雅的美,外观,0,4
做工精细丰富多处细节设计比较人性化方向盘和中控台多出细节设计比较人性化,内饰,0,3
R8表现不错座椅后部较大只是后备箱较小脚部不错头顶小,空间,0,4
性能良好车身稳定性较好弯道表现比较突出底盘比较扎实整体比较灵活,操控,0,4
非常不错70码以上再深踩马上弹射出去没有限速要求的情况下达到时速300公里是非常轻松的事情,动力,1,5
安全丰富各种的安全气囊坐在里边很有安全感较高,配置,0,4
性价比很高啊开了这么久没啥毛病按时保养没问题车很有劲漂移很爽啊,价格,1,5
比起其它造型犀利的大排量跑车奥迪R8相比之下显得圆润中庸低矮的车身犹如起跑线上蓄势待发的运动健将一般,外观,1,5
在方面或许R8做的不够纯粹简单总结来说就是电子设备空调皮质碳纤维,内饰,1,5
较长的轴距为超大的驾驶舱提供了更多纵置的发动机紧随其后车门内侧还设计了储物方便存放比较小的随身物品,空间,1,5
叉臂悬挂结构大量铝质材料的应用明显地减轻了簧下重量并提供了精确灵敏的转向型与相比之下比较出色的舒适的性能,操控,1,5
比较强劲百公里加速时间较短在同级别车型中处于较高水平,动力,1,5
仪表盘标准的奥迪MMI操作系统很很给力多媒体很丰富！,配置,1,5
性价比懂的人都知道的质量不错很难开的坏不过车不是100%25完美的毕竟这是机器,价格,1,5
整个线条都很棒,外观,1,5
略微落后了啊,内饰,1,5
超跑都这样要我买火车皮了,空间,1,5
蛮不错啊啊啊啊,操控,0,4
v8还不够吗,动力,1,5
有导航就行了,配置,1,5
比战神贵啊,价格,1,5
倾国倾城,外观,1,5
豪华高档,内饰,1,5
宽畅通透,空间,1,5
人车合一,操控,1,5
很强劲,动力,1,5
好丰富一用,配置,1,5
物超所值好,价格,1,5
豪华享受好,舒适性,1,5
挺时尚挺大气的我觉得还不错车身也不短我还是比较中意的要是16寸的车轮子换换就更完美了,外观,0,4
比较满意的吧中控台的布局很好操作也十分方便储物还是比较多的随便一个小东西都能随处找到搁置的地方十分便利,内饰,0,4
前排两人坐得舒服后排也就能临时带人后排据说可以坐三个人我还没尝试过后备箱的尺寸还是可以的放个婴儿推车都没问题,空间,0,4
算得上是一流的推背感很强电子助力的方向盘指向性很精准从起步到提速到80KM以上完全是轻而易举的事情,操控,0,4
1.6的还行可以称得上比较充沛即便是急加速也能让人很满意尽管这款车有不足之处反正挺适合我的要求的,动力,0,3
方面算是考虑的比较周全的前后排都配有安全气囊十分安全遗憾的是没有配备胎压监测装置我入手的116i领先版是低配的车型所以能做到现有的这样算是比较不错的,配置,0,4
性价比还是蛮高的各种还是比较齐全的各种的科技感都很强价钱也算合理也不是特别高再说买这车的人也不会在乎这点,价格,0,4
标配的车子驾驶座椅没有腰部支撑感觉这些有些说不过去后来加装了一个挺舒服的中央扶手也是很不错的在长途驾驶的时候可以放松一下右手,舒适性,0,4
车身比较修长但是看上去却显得非常小巧前脸的造型透露出一定的可爱感觉车身线条丰富造型动感,外观,1,5
的用料比较好银色装饰板的搭配让车辆内部显得很有活力各个部分手感都非常出色,内饰,1,5
车内表现一般前排头部宽裕后排腿部略显拥挤如果坐4个人是比较舒服的,空间,0,4
车辆的非常轻松灵活方向盘的指向比较精准转向轻松车辆底盘扎实悬挂支撑比较柔韧,操控,1,5
1.6T的涡轮增压发动机带来的还是非常强劲的起步的时候速度比较快在高速上飙车感觉很爽,动力,0,4
发动机启动技术和ECO节能模式的加入让车辆本身的燃油机经济性得到大幅度提升同时还配备了车身稳定控制系统提升了,配置,0,4
这款车的性价比我比较满意它的运动性非常突出和乘坐感受都非常好也比较丰富,价格,0,4
座椅的舒适度比较出色车辆内部装饰手感非常出色同时底盘柔韧能够很好地过滤路面的颠簸,舒适性,1,5
它的设计看上去非常圆润年轻时尚之余也透露出较强的运动性前大灯的造型不算犀利尾部的设计很有立体感,外观,1,5
1系的设计非常丰富灵动营造出较强的运动感方向盘造型简洁仪表盘也比较清晰大方中控台造型非常漂亮,内饰,0,4
车辆的足够大前排调整到比较舒服的位置后排就比较拘束了后备箱的也不算大,空间,0,3
路感更加清晰更富有驾驶乐趣底盘调校比较扎实让人感觉安稳和舒适方向盘转向轻松指向性也比较精准,操控,0,4
这个车表现比较出色油门响应直接起步速度比较快后期的加速表现也非常出色,动力,1,5
配备了自动头灯发动机启停技术全景天窗ECO节能模式倒车雷达等有效提升了车辆的,配置,0,4
这款车比较高但是跟同价位的车辆比较起来它的各方面性能还是相当出色的各方面的表现都比较好,价格,0,4
座椅的舒适度非常好支撑性非常出色车辆悬挂的调节比较柔韧能够很好地过滤路面颠簸,舒适性,0,4
1系的设计非常年轻充满活力车身修长车身的线条非常丰富流畅尾部的设计也充满运动感,外观,1,5
的造型设计非常花哨大量采用银色装饰板看上去显得比较诱惑力中控台的层次感比较清晰方向盘手感出色,内饰,0,4
车辆的轴距接近2.7米前排的乘坐非常宽裕后排一般后备箱的也只能说是够用,空间,0,3
配备了8档手自一体变速箱带来了非常舒服的切换悬挂调校比较好兼顾了运动性和,操控,0,4
采用1.6T涡轮增压发动机带来的整体表现还是相当出色的起步的时候速度比较快后期加速也比较稳定,动力,0,4
配备了车身稳定控制系统胎压监测装置零胎压继续行驶无钥匙启动系统全景天窗倒车雷达等提升了的和方便性,配置,1,5
这款车的性价比还是相当出色的车辆的比较丰富体验和乘坐感受都非常出色,价格,0,4
座椅的包裹性一般不过支撑性和非常不错全景天窗的配备让车辆内部的通透性得到大幅度提升,舒适性,0,4
前脸看上去很端庄而且车头长车尾短从侧面看总感觉爱车像一只大大的鞋子哈哈！,外观,0,4
蓝色车身搭配深色让爱车看起来外部时尚内部沉稳内外一结合感觉跟我整个人的气质很搭,内饰,0,4
前排可以后排中间因为空调的原因那有一小块儿会让腿部有些拥挤不过坐两个人的话完全可以闪开那的,空间,0,3
方向盘指向精准指哪打哪很听话涡轮介入感觉不到迟滞变速换档也很平顺宝马车的性能真不是吹的呀！,操控,0,3
强劲配备的还是涡轮增压发动机在涡轮增压介入以后提速非常明显能感觉到很强烈的推背感就是我要的范儿！,动力,0,3
无钥匙启动系统很方便还配有泊车雷达和倒车雷达这对于停车技术不好的人来说很实用,配置,0,3
总体来说性价比很不错我是冲着宝马的品牌强劲的和完美的买的值这个了,价格,0,4
长长的车头从侧面看上去有点憨态可掬的感觉但是搭配上绯红的颜色就又会让人觉得非常的时尚动感不知道具体怎么来形容它了,外观,1,5
这款车的感觉还算可以黑色尤其是黑色座椅搭配红色的缝线显得很有运动气息做工和用料也不错,内饰,1,5
跟车身整体大小有关系1系的稍微小一些不过前后排做人也还算可以没有局促的感觉,空间,0,4
这款车的性给我感觉很不错路感清晰悬挂调教得软硬适中底盘非常扎实在过弯道的情况下很稳定但是稍微有一些异响,操控,1,5
1.6的排量属于居中吧不算大德系车本身就比较重所以只能说一般般能基本满足我的需求还好我不是特别追求激情澎湃的人,动力,1,5
方向盘是电子助力的低速时很轻高速时又会感觉很沉稳让驾驶者在转向力度上把控的很好人机交互系统也很实用,配置,1,5
花这么多钱给我带来的体验只能是满意还不到非常满意的程度也许是我对它有些方面要求过高了总体感觉马马虎虎吧！,价格,1,5
典型的猪鼻子加天使眼看久了还真是比较顺眼很耐看整体看起来非常的流畅动感符合我的审美口味,外观,1,5
设计比较简洁并没有出现我想象中的那种科技感但是方向盘和仪表盘的设计我个人非常喜欢也算是有加分了吧,内饰,1,5
我们南方人使用还是绰绰有余的不高不胖反正我们全家四口人坐在上面都不觉得挤不过后备箱的使用上还是感觉小了点不过车小停车很方便,空间,1,5
后驱和BMW的细腻精准调教开过后才知道什么叫抓得住捏得牢开过后才知道什么叫制动的线性感感非常棒,操控,0,4
170P的马力相当于2.4排量发动机的还真不是盖的在城市道路上加塞超车那是手到擒来的事了我基本都不用踩到2000转以上,动力,1,5
自动雨刷防炫目自动泊车蓝牙免提回家照明四窗一键升降遥控开关窗户及天窗等实用性的科技化装备基本都有了,配置,0,4
性价比挺高的今年入手的去年的款算是优惠很多了吧,价格,0,4
同级别小车中宝马1系非常干练运动尤其侧面线条运动感是最出色的我的车是116领先型没有氙灯轮毂比较丑除此之外都很好,外观,0,4
是宝马的一贯风格非常好用样子也很耐看但是做工不敢恭维应该是豪华品牌中做工最一般的好在选材还可以,内饰,0,3
两厢车拉东西很方便但是储物不能满意前排储物很少第二排为0,空间,-1,2
绝对一流我认为超过宝马3系后驱5050一样不少朋友很迷恋我这车过弯的感觉指哪打哪相应迅速底盘有韧性宝马的是最棒的,操控,1,5
虽然是116发动机但是强劲大概是油门调教和变速箱的原因百公里加速比数据差不多的车型快1秒左右足够日常撒欢,动力,1,5
作为豪华品牌的入门车型还算不错了iDrive自动头灯自动雨刷无钥匙启动自动启停都有满意了,配置,0,4
就驾驶感来说非常值得！,价格,1,5
从前面大灯一直延伸到车尾的腰线天使眼近远氙气大灯一绝！ 前引擎盖设计也比较漂亮！ 俩白色鼻孔看上去比其他颜色更帅气！,外观,0,4
很有层次感中控区域向驶员一侧倾斜宽阔的中控立式彩屏电子换挡杆延续宝马的风格,内饰,0,4
因为车门厚实和座位与门之间缓冲距离较大的原因后座3人会略感拥挤如果出游或必要拉多点东西时放到后背箱还是没问题的,空间,0,3
我不会飚车评价有点勉为其难但可以明显感受到这是一款非常好开的小车高速行驶非常稳当,操控,0,3
目前初步感觉这车过弯极限很高可以很快同时给人感观上的加速感又不是十分强烈动了很充沛,动力,0,4
倒车视频影像真皮方向盘电动天窗这些我都非常喜欢也很实用中控台彩色大屏也为车子加了不少分,配置,0,3
感觉钱没有花错！车没有买后悔！,价格,0,4
不觉得像愤怒小鸟里的猪么？,外观,0,4
我的车增配了原厂真皮座椅2w整个车看起来高档多了,内饰,0,4
同级最差后排只能做两个人后备箱小,空间,0,3
同级最强！同级最强！同级最强！重要的事说三遍这车太好开了从方向盘的触感到跑完有帝都秋名山之称的潭王路在同级别中无可挑剔,操控,1,5
运动模式配S档还是能感觉到这车有那么点儿蛮劲儿尤其是中段加速而且开了三年几乎没有感觉到涡轮迟滞现象,动力,1,5
对于同级别车A级A3V40Ct200来说简直是......太低了全系没有USB没有后视镜折叠没有座椅加热,配置,0,3
对于ABB的紧凑级小车来说118i还算有竞争力想要B格兼备这车能满足你,价格,0,4
118i的相当理想idrive里的百公里一直保持在8.5左右我开市区较多跑高速的时候更是低到6升一个字儿省油！,油耗,1,5
比上一代强多了至少不颠屁股,舒适性,0,4
个人是比较喜欢宝马现款的极具科技感,内饰,0,4
没有前置雷达！没有定速巡航！针织座椅,配置,1,5
大概是12.5左右,油耗,0,4
不算非常出彩但年轻小巧,外观,0,3
简洁年轻,内饰,0,3
紧凑小车对于一个人两个人来说挺够用,空间,0,3
转向精准,操控,1,5
非常不错2.0T随传随到的,动力,0,4
略不给力选装后的略高,配置,0,3
125有好的优惠的时候性价比是不错的,价格,0,3
进口宝马1系有两厢三厢软顶敞篷三种车型1系前脸延用家族双肾设计时尚大气车身紧凑底盘较低充满运动气息总体好,外观,1,5
工精致用料扎实丰富,内饰,1,5
前后排实用头部和腿部充足,空间,1,5
公路性能优异车身紧凑底盘较低前置后驱灵活精准涡轮发电机强劲起步迅速,操控,0,3
强劲扭矩充足起步迅速,动力,0,4
好好谁用谁知道,配置,1,5
我认为性价比还是可以的个人观点,价格,0,4
哈哈哈哈哈哈,外观,-1,2
整体造型更具动感元素且时尚HID的氙气前大灯搭配下方长条LED的转向灯十分的富有杀气下方的进气格栅也采用了镀铬饰条进行搭配大气,外观,1,5
科技感比较强氛围灯配合旋钮式档杆很时尚有科技感真皮座椅还不错看起来品质感强中控显示屏偏小位置偏低不过导航还行系统也简单易懂,内饰,0,4
前排很好储物也很多后排一般前排后移会让后排难堪但毕竟是后驱运动型车注重前排是正确的设计后备箱也还行,空间,0,3
悬挂偏硬所以过弯侧倾角度很小大大的轮胎抓地力极强刹车性能好较小的方向盘手感好性强指向性也还行反正车子开着是蛮爽的,操控,0,4
这个对于我日常生活来说已经足够而且有多了如果觉得不够那就猛踩油门吧嘻嘻,动力,0,4
50多万的车子安全尚可舒适也还可以音响效果很棒不过这么贵的车子居然没有座椅通风感觉有些不仁道,配置,0,3
性价比我感觉最难评定很多地方都是仁者见仁智者见智但不论如何谁不也能说它不是一辆好车,价格,0,4
这样的车子也不能图它能够省油470多公里综合10.3总的来说还可以其实也跟个人的习惯有很大的关系,油耗,0,3
座椅很舒服包裹性很强这点非常满意的音响的音质也特别好好车子就是不一样啊做工也十分细腻手感舒服,舒适性,1,5
设计很大气线条的处理也很有美感整体造型非常犀利,外观,1,5
用料很厚道细节的处理也很到位看的出捷豹还是非常用心的,内饰,1,5
很大后排坐满人也不会觉得很拥挤后备箱的容量可以放很多行李出门旅行很方便,空间,1,5
很顺手方向盘转向很灵敏指向也很精准指哪打哪对于路面的反馈也很及时,操控,1,5
足够了2.0的发动机还是很强劲的起步加速也很快推背感也很明显,动力,1,5
很满意中控设计也很有档次舒适也很丰富,配置,1,5
性价比在这个级别里可以说是非常高的丰富,价格,1,5
很经济对于XF这么大的车来说已经很不错了,油耗,1,5
还是非常高的座椅包裹性不错长时间驾驶也不会觉得很累,舒适性,1,5
设计很大气线条的处理也很有美感第一眼就被深深的吸引了,外观,1,5
用料很厚道看的出捷豹还是非常有诚意的,内饰,1,5
很大后排坐满人也不会觉得很拥挤甚至还能跷二郎腿非常不错,空间,1,5
很顺手方向盘转向很灵敏指向也很精准对于路面的反馈也非常及时,操控,1,5
在这个级别里算是很不错了2.0的发动机起步加速很快后段的提速很给力赞,动力,1,5
很喜欢中控的设计很有档次感觉也很有豪华感实用性也非常高,配置,1,5
性价比在同级别里算很高了都有很大的优势,价格,1,5
总体来说还是非常经济的这么大的车身能有这样的已经很不错了,油耗,1,5
很高真皮座椅坐的很舒服长时间驾驶也不会觉得很累,舒适性,1,5
设计很不错线条的处理也很有美感侧面非常霸气不错,外观,1,5
做工精致细节的处理很到位看的出捷豹的诚意,内饰,1,5
的话XF的表现还是很给力的后排很大坐满人也不会觉得拥挤后备箱的容量也很大平时能放很多行李非常的实用,空间,1,5
上XF不会比5系差甚至还要更高,操控,1,5
感觉够用了2.0的在市区开绰绰有余加速也很快也能感觉到很明显的推背感,动力,1,5
还是很丰富的实用性很高这点非常满意,配置,1,5
性价比个人觉得在这个级别里XF可以说是最高的,价格,1,5
还是可以接受的毕竟这么大的车身而且高速的时候最低开到过9个还是很给力的,油耗,1,5
座椅包裹性很高也很柔软坐久了也不会觉得很累而且静音处理也很出色非常棒,舒适性,1,5
感觉还是很时尚的线条的处理也很有美感第一眼看上去非常迷人,外观,1,5
方面我觉得还是很精致的用料也很厚道整体感觉非常豪华,内饰,1,5
表现很出色前排调整到最佳坐姿后后排还能有很充裕的坐满人也不会觉得很拥挤赞,空间,1,5
还是很不错方向盘转向很灵敏底盘的调教也很扎实,操控,1,5
2.0的完全足够用了起步还是很快的后段爆发力挺强的,动力,1,5
相比同级别车来说个人觉得捷豹还是非常厚道的很多都很实用,配置,1,5
性价比在这个级别里可以算是很高的了尤其是非常给力,价格,1,5
个人觉得还是可以接受的毕竟2吨左右的车这点还是很不错了,油耗,1,5
